,url
1884,<a href=https://www.zomato.com/bangalore/kalingas-btm?context=eyJzZSI6eyJlIjpbIjU2OTEzIiwiNTY5MDEiLCIxODY1MTg0NSIsIjU2MDI4Iiw1ODgyOCwiMTg3OTc3OTEiLCIxODI1NDU2OCIsIjE4NjA4Nzg1IiwiNTg4NzEiLCI1OTc5NiIsIjYwMTI0IiwiNTgzNTkiLCIxODcxMTgyNyIsIjE4ODk2NjcyIiwiMTg5MDExNjciLCI1MDMwNyJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFubmVyZ2hhdHRhIFJvYWQifX0=><div>Kalingas</div></a>
1885,<a href=https://www.zomato.com/bangalore/yummrajj-btm-bangalore?context=eyJzZSI6eyJlIjpbIjE4ODQ4Mjk1IiwiMTg3OTY3NDMiLCI1NzgyOCIsIjE4NTU1MTU0IiwxODc3Mjc0MCwiNTY0ODgiLCIxODE3MzA3OCIsIjE4NTU2MjQ4IiwiMTg0NTc2MDQiLCIxODc5NjgzNCIsIjE4NjMxODAyIiwiNTY5MTMiLCI1NjkwMSIsIjE4NjUxODQ1IiwiNTYwMjgiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Yummrajj</div></a>
1886,<a href=https://www.zomato.com/bangalore/gorbandh-btm?context=eyJzZSI6eyJlIjpbIjE4NjQyNTkxIiwiMTg4ODkzMDEiLCIxODUwMzc1NSIsIjE4NTYzODc1IiwxODUzNTAxNSwiNTUwNTUiLCIxODU1MjE0NiIsIjE4NTEyODg2IiwiMTg0MzA3NjAiLCIxODg0NDM4MyIsIjU1NjcwIiwiMTg4NTY5NDIiLCIxODY1NTcyNCIsIjE4NjQyMzc0IiwiNTgxMDEiLCIxODc5NjcxOSIsIjUwMjc4IiwiMTg3MTExMzgiLCIxODYzNjMxNCIsIjUwNjQ1Il0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBCYW5uZXJnaGF0dGEgUm9hZCJ9fQ==><div>Gorbandh</div></a>
1887,<a href=https://www.zomato.com/bangalore/jp-fish-land-btm-bangalore?context=eyJzZSI6eyJlIjpbIjE4NjA2OTExIiwiMTg1NDMyMzkiLCIxODcwMzc0MCIsIjUyMDg4IiwxODY4Mjc4NiwiMTg3MDQ1NzgiLCIxODc3NTcyNSIsIjYxMjQ0IiwiMTgyMzc5MDEiLCIxODMzMzE2MiIsIjU5NjQ1IiwiNTgxMDciLCIxODc4MTM2MCIsIjE4MzIzNjIwIiwiMTg0MTIxNDEiLCIxODI4NTE1NCJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFubmVyZ2hhdHRhIFJvYWQifX0=><div>Jp Fish Land</div></a>
1888,<a href=https://www.zomato.com/bangalore/nanna-munna-paratha-house-btm?context=eyJzZSI6eyJlIjpbIjE4ODg2MTM5IiwiMTgzNjI0MjYiLCIxODc3MDkzNCIsIjU5ODY1Iiw1OTk0NCwiNjA4NTAiLCIxODU3MzAzMSIsIjE4ODk0Mzc3IiwiMTgxOTg4NzgiLCIxODc2NTg4OCIsIjE4ODE4ODAzIiwiNTY2MTkiLCIxODQ1ODM5OCIsIjU4ODMzIiwiNTI4MzEiLCIxODc5NTU0NyIsIjUxODUwIl0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBCYW5uZXJnaGF0dGEgUm9hZCJ9fQ==><div>Nanna Munna Paratha House</div></a>
1889,<a href=https://www.zomato.com/bangalore/daniyals-btm?context=eyJzZSI6eyJlIjpbIjE4ODQ0MzgzIiwiNTU2NzAiLCIxODg1Njk0MiIsIjE4NjU1NzI0IiwxODY0MjM3NCwiNTgxMDEiLCIxODc5NjcxOSIsIjUwMjc4IiwiMTg3MTExMzgiLCIxODYzNjMxNCIsIjUwNjQ1IiwiMTg0Mzk2MjMiLCIxODI4NTE2MiIsIjE4NjgzOTczIiwiMTg2MTU3OTMiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Daniyal'S</div></a>
1890,<a href=https://www.zomato.com/bangalore/swad-punjab-da-btm?context=eyJzZSI6eyJlIjpbIjE4Nzk2NzQzIiwiNTc4MjgiLCIxODU1NTE1NCIsIjE4NzcyNzQwIiw1NjQ4OCwiMTgxNzMwNzgiLCIxODU1NjI0OCIsIjE4NDU3NjA0IiwiMTg3OTY4MzQiLCIxODYzMTgwMiIsIjU2OTEzIiwiNTY5MDEiLCIxODY1MTg0NSIsIjU2MDI4IiwiNTg4MjgiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Swad Punjab Da</div></a>
1891,<a href=https://www.zomato.com/bangalore/new-south-corner-btm-bangalore?context=eyJzZSI6eyJlIjpbIjE4NDMwNzUyIiwiMTg4OTA0OTMiLCIxODQ0MzExMiIsIjE4NjIyNTU1Iiw1ODIxNiwiMTg4Njk3MzYiLCIxODUzNTA4NCIsIjE4NTM2NTEzIiwiMTg4OTM3NjMiLCI1NDY1NCIsIjUyMzQ0IiwiMTg2NDY3NzMiLCIxODU1NDUyNiIsIjUzMzQyIiwiMTg0ODcxODEiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>New South Corner</div></a>
1892,<a href=https://www.zomato.com/bangalore/taste-of-kolkata-btm?context=eyJzZSI6eyJlIjpbIjE4NzM2MDU0IiwiMTg3MDE3MTAiLCIxODYyMjI5MyIsIjE4MTczMDcwIiw2MTA0NywiMTg4MDE1ODkiLCIxODgwMTU5NyIsIjE4ODg4NzA5IiwiNTczMTAiLCIxODkzNjAyNCIsIjE4NjgzMjUzIiwiMTgyMTY2ODMiLCIxODc2MTM1MSIsIjE4ODg3NjA5IiwiMTg0MDc5MTQiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Taste Of Kolkata</div></a>
1893,<a href=https://www.zomato.com/bangalore/dilish-kitchens-btm?context=eyJzZSI6eyJlIjpbIjE4OTM4OTA1IiwiMTg0OTg3NDQiLCIxODY3NTY0NSIsIjU1MDE3IiwxODI4MDU5NywiNTAzMzciLCIxODc5Njc4MSIsIjE4NzIyMzAzIiwiNTcyODYiLCIxODY3MTUyNSIsIjYwNTgyIiwiMTg0ODAwMzQiLCIxODM0NjMyMyIsIjE4NjIwNDU0IiwiMTg2OTkyMTciLCIxODc3ODE1NCIsIjE4Nzc5NzI2IiwiMTg1NjUxMTYiLCI1NTU2OCIsIjU1ODY4IiwiNjA0MDgiLCIxODY2NzMxMyIsIjE4NzMzNDIzIiwiMTg3MTY3OTQiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Dilish Kitchens</div></a>
1894,<a href=https://www.zomato.com/bangalore/the-hungers-zone-btm-bangalore?context=eyJzZSI6eyJlIjpbIjE4NDM1NjkyIiwiMTg4MDY3NzMiLCIxODc0MDk1MiIsIjE4NTc1MDU5IiwxODQwMjI2OCwiMTg4NTYwMDUiLCI1NDg0MiIsIjE4Njc5NjgzIiwiMTg5Mzg5MzUiLCIxODc2OTYxMiIsIjE4NzA0MDcxIiwiNjE1MjAiLCIxODMwNDc1NiIsIjE4NjQwMDkxIiwiMTg0MDc5MzIiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>The Hungers Zone</div></a>
1895,<a href=https://www.zomato.com/bangalore/baba-ka-dhaba-btm?context=eyJzZSI6eyJlIjpbIjE4ODkwNDA1IiwiNjAxNjMiLCIxODIwMjk4OCIsIjE4NzgzNTQyIiwxODUzMTcyMywiNTMwNDAiLCIxODUzNjI5MSIsIjYwOTc5IiwiMTg4MDEwNTAiLCI1MTQ0NiIsIjUxNDA2IiwiMTgzMTkzMTYiLCIxODQzNTY5MiIsIjE4ODA2NzczIiwiMTg3NDA5NTIiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Baba Ka Dhaba</div></a>
1896,<a href=https://www.zomato.com/bangalore/sai-jagannath-food-and-chats-point-bommanahalli?context=eyJzZSI6eyJlIjpbIjE4ODY1NTY0IiwiMTg5Mjg1NTEiLCIxODY3OTUyMyIsIjE4OTM4OTA1IiwxODQ5ODc0NCwiMTg2NzU2NDUiLCI1NTAxNyIsIjE4MjgwNTk3IiwiNTAzMzciLCIxODc5Njc4MSIsIjE4NzIyMzAzIiwiNTcyODYiLCIxODY3MTUyNSIsIjYwNTgyIiwiMTg0ODAwMzQiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Sai Jagannath Food And Chats Point</div></a>
1897,<a href=https://www.zomato.com/bangalore/joeys-btm-bangalore?context=eyJzZSI6eyJlIjpbIjE4OTI4NTUxIiwiMTg2Nzk1MjMiLCIxODkzODkwNSIsIjE4NDk4NzQ0IiwxODY3NTY0NSwiNTUwMTciLCIxODI4MDU5NyIsIjUwMzM3IiwiMTg3OTY3ODEiLCIxODcyMjMwMyIsIjU3Mjg2IiwiMTg2NzE1MjUiLCI2MDU4MiIsIjE4NDgwMDM0IiwiMTgzNDYzMjMiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Joey'S</div></a>
1898,<a href=https://www.zomato.com/bangalore/limra-hotel-btm?context=eyJzZSI6eyJlIjpbIjE4NTU5NDgwIiwiMTg3MTE4NTgiLCIxODk1MDgzMiIsIjU4MDc0IiwxODYzMTM3NSwiMTg5MjY3ODkiLCI2MDQ4MCIsIjE4NjI4MTcxIiwiMTg5MjYzMzMiLCIxODg4MTYwMSIsIjE4NjM1NTg1IiwiMTg4OTE0OTAiLCIxODYzMjIyNCIsIjE4NTk0OTQzIiwiMTgzNzc3MDAiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Limra Hotel</div></a>
1899,<a href=https://www.zomato.com/bangalore/hungry-buddies-btm-bangalore?context=eyJzZSI6eyJlIjpbIjE4Nzk4ODkxIiwiMTg4MDE4MDAiLCI1Nzg3OCIsIjE4Nzg5MzU0IiwxODY4MjkwNywiMTg2ODQxNzUiLCIxODY1ODE0NiIsIjE4NjQyMzU5IiwiNTEyNDgiLCIxODYxOTMzMyIsIjU0NDU2IiwiMTg3MzM4OTAiLCI1MTI0MiIsIjE4NzUwNTI4IiwiMTg4MDE4MTUiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Hungry Buddies</div></a>
1900,<a href=https://www.zomato.com/bangalore/hearts-unlock-cafe-btm?context=eyJzZSI6eyJlIjpbIjE4NzkxNTYxIiwiMTg3ODU3NzUiLCI1OTY0NSIsIjE4NjI4NzgwIiwxODM0NjMyM10sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5uZXJnaGF0dGEgUm9hZCJ9fQ==><div>Hearts Unlock Cafe</div></a>
1901,<a href=https://www.zomato.com/bangalore/blue-berry-restaurant-btm?context=eyJzZSI6eyJlIjpbIjE4NjcxNTI1IiwiNjA1ODIiLCIxODQ4MDAzNCIsIjE4MzQ2MzIzIiwxODYyMDQ1NCwiMTg2OTkyMTciLCIxODc3ODE1NCIsIjE4Nzc5NzI2IiwiMTg1NjUxMTYiLCI1NTU2OCIsIjU1ODY4IiwiNjA0MDgiLCIxODY2NzMxMyIsIjE4NzMzNDIzIiwiMTg3MTY3OTQiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Blue Berry Restaurant</div></a>
1902,<a href=https://www.zomato.com/bangalore/kafe-nook-btm?context=eyJzZSI6eyJlIjpbIjYwNDgwIiwiMTg2MjgxNzEiLCIxODkyNjMzMyIsIjE4ODgxNjAxIiwxODYzNTU4NSwiMTg4OTE0OTAiLCIxODYzMjIyNCIsIjE4NTk0OTQzIiwiMTgzNzc3MDAiLCI2MDkwMCIsIjE4NDk0NTAzIiwiMTg2MTQ3OTEiLCIxODYxMzkwOSIsIjE4Nzk4ODkxIiwiMTg4MDE4MDAiLCI1Nzg3OCIsIjE4Nzg5MzU0IiwiMTg2ODI5MDciLCIxODY4NDE3NSIsIjE4NjU4MTQ2IiwiMTg2NDIzNTkiLCI1MTI0OCIsIjE4NjE5MzMzIl0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBCYW5uZXJnaGF0dGEgUm9hZCJ9fQ==><div>Kafe Nook</div></a>
1903,<a href=https://www.zomato.com/bangalore/rss-donne-biryani-btm-bangalore?context=eyJzZSI6eyJlIjpbIjE4NzIxMDYzIiwiMTg0NjcyMjAiLCIxODQ4MDAzMSIsIjE4NjYyMjcxIiwxODY1MTgxNiwiNTMxNjIiLCIxODM0Mjg3NyIsIjU2OTQ4IiwiMTg2MDgzMzciLCIxODU2Mzk0MCIsIjUwMjQ5IiwiMTg2MzUyNDciLCIxODY3ODU4MCIsIjE4NjQzNzk5IiwiNTM3MjMiLCIxODY5MjcxOSIsIjE4NTc3NjcxIl0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBCYW5uZXJnaGF0dGEgUm9hZCJ9fQ==><div>Rss Donne Biryani</div></a>
1904,<a href=https://www.zomato.com/bangalore/aha-juice-bar-btm?context=eyJzZSI6eyJlIjpbIjE4NzAxOTE5IiwiMTg0MjI4ODciLCIxODU3MjE1MSIsIjE4NTc2NDg1Iiw2MTA1NCwiMTg2NzAzMjIiLCIxODc4MTQ4OCIsIjE4Nzc4OTc3IiwiMTg3ODMyMzEiLCIxODc4MzUyNSIsIjE4Nzg0MTQwIiwiMTg4MDc4MjEiLCIxODg0MDg1MiIsIjE4ODUxNTkyIiwiMTg4NjY3MzIiLCIxODg3MTcyNiIsIjE4NjExMDAzIiwiMTg2MjEwODIiLCIxODY2MTY0MCJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFubmVyZ2hhdHRhIFJvYWQifX0=><div>Aha Juice Bar</div></a>
1905,<a href=https://www.zomato.com/bangalore/rk-fresh-food-btm?context=eyJzZSI6eyJlIjpbIjE4NzIxNjYwIiwiNTA3MTIiLCIxODYxNTk2OCIsIjU5MTAxIiwxODYzNDQxNCwiMTg2ODk3NTIiLCIxODc2MzAxNiIsIjE4NzExMTkxIiwiMTg3NDYzMzkiLCIxODg3MTcwOCIsIjE4Njg4ODUzIiwiNTQyMzMiLCIxODcyNzQxOCIsIjE4ODIyMzg3IiwiMTg4MDE1NTMiLCIxODkwOTk3OCIsIjE4NTkxOTQ3IiwiMTg4NzE3MDEiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Rk Fresh Food</div></a>
1906,<a href=https://www.zomato.com/bangalore/rcs-kitchen-btm-bangalore?context=eyJzZSI6eyJlIjpbIjE4NDg3MTgxIiwiMTg3NDk2MDkiLCIxODc5NTA3NiIsIjE4MzcxMjU5IiwxODcxOTgyNywiMTg1NjkxNTciLCIxODY2MjI2MyIsIjE4NjYwNzA4IiwiMTg3NDQxNzAiLCIxODcxMzQzNyIsIjUyOTI5IiwiNTY1NjciLCIxODYxNzgyNCIsIjE4ODc3NzI0IiwiMTg3NDk2ODciXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Rcs Kitchen</div></a>
1907,<a href=https://www.zomato.com/bangalore/desi-wok-btm?context=eyJzZSI6eyJlIjpbIjE4Njk5MjE3IiwiMTg3NzgxNTQiLCIxODc3OTcyNiIsIjE4NTY1MTE2Iiw1NTU2OCwiNTU4NjgiLCI2MDQwOCIsIjE4NjY3MzEzIiwiMTg3MzM0MjMiLCIxODcxNjc5NCIsIjE4NDgwMDE4IiwiMTg2MjQxOTQiLCIxODM2MjQyMyIsIjE4MjU0NTgxIiwiMTg2ODUwMjIiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Desi Wok</div></a>
1908,<a href=https://www.zomato.com/bangalore/namana-garden-btm?context=eyJzZSI6eyJlIjpbIjE4Nzc4MTU0IiwiMTg3Nzk3MjYiLCIxODU2NTExNiIsIjU1NTY4Iiw1NTg2OCwiNjA0MDgiLCIxODY2NzMxMyIsIjE4NzMzNDIzIiwiMTg3MTY3OTQiLCIxODQ4MDAxOCIsIjE4NjI0MTk0IiwiMTgzNjI0MjMiLCIxODI1NDU4MSIsIjE4Njg1MDIyIiwiMTg2ODE0NDciLCIxODY5NTAwMCIsIjE4NzI1OTE1IiwiMTg2NzI3ODYiLCIxODc5Njc4OCIsIjE4NzkxNTYxIiwiMTg3MDE5MTkiLCIxODQyMjg4NyIsIjE4NTcyMTUxIiwiMTg1NzY0ODUiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Namana Garden</div></a>
1909,<a href=https://www.zomato.com/bangalore/biriyani-angadi-btm?context=eyJzZSI6eyJlIjpbIjE4NzE5ODI3IiwiNTU1NjgiLCI1NTg2OCIsIjE4NjgxMzk2IiwxODYwNTU5NCwiMTgzNjI0MjMiLCIxODY3Mjc4NiIsIjU5NjkyIiwiMTg1OTc4OTIiLCIxODQ2ODgyNyIsIjE4NjA1Mjg2IiwiMTg2NjE2NDAiLCIxODkyMjg1MyIsIjU2MzkyIiwiMTg2ODI4MjkiLCIxODQzNTY3OCIsIjE4NjY1NDg1Il0sInQiOiJEaW5lLU91dCBSZXN0YXVyYW50cyBpbiBCYW5uZXJnaGF0dGEgUm9hZCJ9fQ==><div>Biriyani Angadi</div></a>
1910,<a href=https://www.zomato.com/bangalore/biryani-magic-2-btm?context=eyJzZSI6eyJlIjpbIjE4NzYxMzUxIiwiMTg4ODc2MDkiLCIxODQwNzkxNCIsIjE4NzgwNTY1Iiw1OTY5MiwiMTg4NzE2NTUiLCI1OTM1OCIsIjUyMDM2IiwiMTg5MTAwNDAiLCIxODk0NTk3NCIsIjE4MjgwNTg1IiwiMTg2NDY2ODUiLCI1NjE1NyIsIjE4NjE1Nzk0IiwiNTkxMTciXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Biryani Magic</div></a>
1911,<a href=https://www.zomato.com/bangalore/sri-sankara-cafe-btm?context=eyJzZSI6eyJlIjpbIjE4Mzk4NDkzIiwiMTg2NTQzOTgiLCI2MDEzOSIsIjE4Njc4MDc2IiwxODU5Nzg5MiwiMTg2NDIzNzEiLCIxODg2NjExOSIsIjE4NjIwMzY5IiwiMTg1OTQ1NzMiLCIxODg5MzQzMyIsIjE4NjQ5NzQ3IiwiMTgyMTY2NTIiLCIxODg2Nzc0MyIsIjE4NjkxNTE2IiwiMTg5MjgxODUiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Sri Sankara Cafe</div></a>
1912,<a href=https://www.zomato.com/bangalore/mahesh-friends-food-center-1-btm?context=eyJzZSI6eyJlIjpbIjE4NzIzMzg2IiwiMTg3MjM3NzIiLCIxODc5OTE0MyIsIjE4ODc5MDA3IiwxODQ2ODgyNywiMTg3OTY4MjEiLCI1MTk4MyIsIjE4NjQzMDAxIiwiMTg0ODkxNDMiLCIxODYxMzczMiIsIjE4NzExMzQ0IiwiNjA0MDciLCIxODI3NTAyMSIsIjE4NTQxNDgxIiwiMTg1MzgwMTgiLCIxODU0NjM1MSIsIjE4ODc3OTUxIiwiMTg3NTk4NzAiLCIxODc5Njc1OSIsIjE4Nzk2NzU4IiwiMTg2MTE2MzkiLCIxODg1NDI4MCJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFubmVyZ2hhdHRhIFJvYWQifX0=><div>Mahesh Friends Food Center</div></a>
1913,<a href=https://www.zomato.com/bangalore/swad-plaza-btm?context=eyJzZSI6eyJlIjpbIjE4NzgyNTcxIiwiMTg2NzY2ODkiLCIxODc4MjYzNiIsIjE4Njg5MDYyIiwxODQzNTY3OCwiMTg3MDc1MDAiLCI1NDEyNCIsIjE4ODA2ODQyIiwiMTg5MzE0OTkiLCIxODk0ODkwOCIsIjU4Nzg2IiwiNTIyNTgiLCIxODYzMTE1NiIsIjE4OTQ5NDQ4IiwiMTg4OTAwNDQiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Swad Plaza</div></a>
1914,<a href=https://www.zomato.com/bangalore/diyas-findish-bommanahalli-bangalore?context=eyJzZSI6eyJlIjpbIjE4NjcwNTk2IiwiMTg2NzEwNjMiLCIxODY1MDAyNCIsIjE4NzMwODE3IiwxODcxODY3OCwiMTg3MzI5NjEiLCIxODY5MzMxNCIsIjE4NzA5NTM0IiwiNTI1MDEiLCIxODI2MzQxOSIsIjE4MzU5ODk0IiwiMTg0MTI0MzAiLCIxODc5Njc2NCIsIjE4Nzk2NzcxIiwiMTg3OTY3NzAiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Diya'S Findish</div></a>
1915,<a href=https://www.zomato.com/bangalore/chicken-magic-btm?context=eyJzZSI6eyJlIjpbIjE4NTI4MTcwIiwiMTg1NTk3NTYiLCIxODc5Njc0NSIsIjE4MjM3OTMxIiwxODU0NjQxNiwiMTg2MTQ2NjMiLCIxODAxMTY2MyIsIjE4Nzk2Nzg5IiwiMTg4MTUwODMiLCI1NjIzMCIsIjE4NjUyMTA4IiwiMTg3Mjg3ODAiLCIxODc4OTUzNSIsIjU0Mjk3IiwiMTg2NzA5NzUiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Chicken Magic</div></a>
1916,<a href=https://www.zomato.com/bangalore/new-mahesh-friends-food-corner-btm-bangalore?context=eyJzZSI6eyJlIjpbIjE4Nzk2Nzg5IiwiMTg4MTUwODMiLCI1NjIzMCIsIjE4NjUyMTA4IiwxODcyODc4MCwiMTg3ODk1MzUiLCI1NDI5NyIsIjE4NjcwOTc1IiwiMTg3ODQxMDgiLCIxODY5ODE5MyIsIjE4ODAxMzYzIiwiMTg3OTY3MjYiLCIxODc5Njc2NiIsIjE4NjUxMzQ2IiwiMTg4MjI1OTEiLCIxODQwNzkwNyIsIjE4NzIzMzg2IiwiMTg3MjM3NzIiLCIxODc5OTE0MyIsIjE4ODc5MDA3IiwiMTg0Njg4MjciLCIxODc5NjgyMSIsIjUxOTgzIl0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBCYW5uZXJnaGF0dGEgUm9hZCJ9fQ==><div>New Mahesh Friends Food Corner</div></a>
1917,<a href=https://www.zomato.com/bangalore/bay-root-btm?context=eyJzZSI6eyJlIjpbIjE4Nzc4OTYzIiwiMTg3ODk1NjIiLCIxODg4Njg4NiIsIjE4NzY5NDc2IiwxODY0MzMwNiwiMTg1OTM0ODUiLCIxODc5NDA0NyIsIjE4NjA0MTgwIiwiMTg5NjM1MTAiLCIxODk2NDIzNSIsIjYwNDA5IiwiMTg0MjM2MTgiLCIxODQzNTY5MCIsIjE4NjE0MTAxIiwiMTg2Mjg2NDkiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Bay Root</div></a>
1918,<a href=https://www.zomato.com/bangalore/amontron-btm?context=eyJzZSI6eyJlIjpbIjE4NjI2MDEzIiwiMTg1NDgwMjAiLCIxODU4NzkwNSIsIjE4NTcwMzA4IiwxODUyODE0MywiMTgwNDgyNTMiLCIxODY3NzIwNCIsIjE4NTU1NTQ0IiwiNjEzNjAiLCIxODg0ODc5OSIsIjU1NjM4IiwiMTg4OTEzOTciLCI1MTQ1NyIsIjE4NzIxMDYzIiwiMTg0NjcyMjAiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Amontron</div></a>
1919,<a href=https://www.zomato.com/bangalore/sri-lakshmi-dhaba-btm-bangalore?context=eyJzZSI6eyJlIjpbIjE4NTc2NDgwIiwiMTg3OTY4MTYiLCIxODc5NjcyNSIsIjE4Nzk2NzkzIiwxODY0MzYxOCwiMTg2NDgzODUiLCI1NDUyMSIsIjE4ODQ4Mjk1IiwiMTg3OTY3NDMiLCI1NzgyOCIsIjE4NTU1MTU0IiwiMTg3NzI3NDAiLCI1NjQ4OCIsIjE4MTczMDc4IiwiMTg1NTYyNDgiLCIxODQ1NzYwNCIsIjE4Nzk2ODM0IiwiMTg2MzE4MDIiLCI1NjkxMyJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFubmVyZ2hhdHRhIFJvYWQifX0=><div>Sri Lakshmi Dhaba</div></a>
1920,<a href=https://www.zomato.com/bangalore/deja-vu-resto-bar-bannerghatta-road?context=eyJzZSI6eyJlIjpbNTQxNjUsIjE4MjM3OTMxIiwiMTgyOTAwNzMiLCIxODAxMTY2MyIsIjUxNjkzIiwiNTAwNjciLCIxODY3NjY4OSIsIjUxNTQxIiwiNjA2ODEiLCIxODc2OTczNCIsIjE4MTk4ODc4Il0sInQiOiJSZXN0YXVyYW50cyBpbiBCYW5uZXJnaGF0dGEgUm9hZCBzZXJ2aW5nIEJ1ZmZldCJ9fQ==><div>Deja Vu Resto Bar</div></a>
1921,<a href=https://www.zomato.com/bangalore/chavadi-bannerghatta-road?context=eyJzZSI6eyJlIjpbIjE4MzkxMDE3IiwiMTg4ODYxMzkiLCIxODM2MjQyNiIsIjE4NzcwOTM0Iiw1OTg2NSwiNTk5NDQiLCI2MDg1MCIsIjE4NTczMDMxIiwiMTg4OTQzNzciLCIxODE5ODg3OCIsIjE4NzY1ODg4IiwiMTg4MTg4MDMiLCI1NjYxOSIsIjE4NDU4Mzk4IiwiNTg4MzMiLCI1MjgzMSIsIjE4Nzk1NTQ3IiwiNTE4NTAiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19><div>Chavadi</div></a>
